NAME,CLAN_GAMES,CLAN_MEMBERS
NotaDJ,502,"Jukebox,Errata,KJC,Vaa0007,Berix,a1z0rz,BigginsCP1,ferenz,EkunSaruoy,WallyZZZ,afro,CrimsnStrife,Evilaizen,Bearded,Kuja666,Jarv10k,Live55,theUnderLoaf,Flyingmac,Darkstar,Dmaxspeedz,SnotRag,HotlineBlizz,DiffEngine,MrSloth,PAKMAN,TheCowboy,Nirnaeth,MTheyer,Einherjar,legendary10,PatchMavTV,FTFMike,baz2sga,Jaydu,Deepthought,XT1NCT10N,CasteelG,felipeck,Waffles,JustTurrble,espynn"
Errata,412,"matrixblue,Bearded,zachIsBad,Jukebox,Archernoles,Dmaxspeedz,NotaDJ,Evilaizen,SnotRag,Jarv10k,Waffles,CasteelG,Kuja666,Solo123024,KJC,Nirnaeth,DiffEngine,PatchMavTV,Flyingmac,afro,Gjallarhorn,JustTurrble,PAKMAN,Live55,a1z0rz,FTFMike,espynn,cverre116,theUnderLoaf,EkunSaruoy,CrimsnStrife,WallyZZZ,Jaydu"
Kuja666,404,"KJC,Solo123024,Vaa0007,a1z0rz,afro,NotaDJ,BigginsCP1,DiffEngine,Jaydu,espynn,Errata,theUnderLoaf,Nirnaeth,Violinplaya,Hebel,JustTurrble,felipeck,Waffles,CasteelG,Bearded,Jarv10k,PAKMAN,PatchMavTV,Deepthought,Dmaxspeedz,HiTech,TheCowboy,Jukebox,KingCraigers,Berix,Live55,CrimsnStrife,legendary10,Cronotorious,zachIsBad,Exadus,WallyZZZ,Evilaizen,Einherjar,SnotRag"
Zona,372,"NateTheGreat,rolls,JustTurrble,MTheyer,a1z0rz,Solo123024,Vaa0007,Gjallarhorn,PatchMavTV,legendary10,WallyZZZ,espynn,CasteelG"
NateTheGreat,372,"Zona,Solo123024,Vaa0007,Gjallarhorn,PatchMavTV,legendary10,MTheyer,WallyZZZ,espynn,rolls,JustTurrble,a1z0rz,CasteelG"
afro,366,"Danjer,EkunSaruoy,PatchMavTV,NotaDJ,CrimsnStrife,Dmaxspeedz,a1z0rz,Jarv10k,Errata,Bearded,BigginsCP1,Jukebox,Nirnaeth,matrixblue,Solo123024,Vaa0007,WallyZZZ,Kuja666,KJC,theUnderLoaf,JustTurrble,Einherjar,SnotRag,felipeck,legendary10,HiTech,FTFMike,ferenz,DiffEngine,espynn,HotlineBlizz,PAKMAN,MTheyer,Darkstar,Deepthought"
Jarv10k,343,"Berix,HiTech,espynn,MTheyer,AIBox,DeltaProject,FatBassKiten,NotaDJ,KJC,Kuja666,Errata,Live55,WallyZZZ,MrSloth,Bearded,a1z0rz,afro,Vaa0007,theUnderLoaf,Evilaizen,Flyingmac,Jukebox,ferenz,Solo123024,DiffEngine,Dmaxspeedz,Deepthought,DeadlyCrane,cverre116,Nirnaeth,Waffles,felipeck,baz2sga,JustTurrble,Hedbutter,SnotRag,legendary10,TheCowboy,HotlineBlizz,reap,PAKMAN,Einherjar,Violinplaya,Hebel"
Bearded,309,"CrimsnStrife,KJC,Jarv10k,PatchMavTV,afro,Jukebox,matrixblue,Errata,Jaydu,zachIsBad,Archernoles,Solo123024,NotaDJ,Nirnaeth,CasteelG,Kuja666,Waffles,Deepthought,Wonderdog,SnotRag,DiffEngine,Flyingmac,ferenz,HiTech,JustTurrble,PAKMAN,Berix,Evilaizen,MrSloth,a1z0rz,Vaa0007,WallyZZZ,Live55,cverre116"
Nirnaeth,302,"legendary10,DeadlyCrane,a1z0rz,Violinplaya,Hebel,Kuja666,Live55,afro,Darkstar,Errata,NotaDJ,Waffles,Jarv10k,KJC,Solo123024,TheCowboy,AIBox,Berix,KingCraigers,BigginsCP1,Vaa0007,CrimsnStrife,PAKMAN,EkunSaruoy,matrixblue,PatchMavTV,FTFMike,Bearded,Jukebox,zachIsBad,Einherjar,SnotRag,felipeck,JustTurrble,espynn,WallyZZZ,DiffEngine,Deepthought,baz2sga,Flyingmac,ferenz"
KJC,281,"CrimsnStrife,Jarv10k,Bearded,espynn,Jaydu,NotaDJ,KingCraigers,PatchMavTV,PAKMAN,Kuja666,Waffles,Nirnaeth,Errata,TheCowboy,Vaa0007,Berix,a1z0rz,Solo123024,Live55,DiffEngine,JustTurrble,afro,legendary10,theUnderLoaf,MTheyer,Flyingmac,ferenz,kryptea,HotlineBlizz,droid008,WallyZZZ,AIBox,Jukebox,matrixblue,BigginsCP1,Deepthought,Gjallarhorn,cverre116"
